##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.19.12 ; L:17.18  ; A:17.18  ; M:0.18.12 
# Column 19:
H:0.20.0  ; L:11.19  ; A:11.19  ; M:0.19.0  
H:0.20.1  ; L:11.39  ; A:11.39  ; M:0.19.1  
H:0.20.2  ; L:12.19  ; A:12.19  ; M:0.19.2  
H:0.20.3  ; L:12.39  ; A:12.39  ; M:0.19.3  
H:0.20.4  ; L:13.19  ; A:13.19  ; M:0.19.4  
H:0.20.5  ; L:13.39  ; A:13.39  ; M:0.19.5  
H:0.20.6  ; L:14.19  ; A:14.19  ; M:0.19.6  
H:0.20.7  ; L:14.39  ; A:14.39  ; M:0.19.7  
H:0.20.8  ; L:15.19  ; A:15.19  ; M:0.19.8  
H:0.20.9  ; L:15.39  ; A:15.39  ; M:0.19.9  
H:0.20.10 ; L:16.19  ; A:16.19  ; M:0.19.10 
H:0.20.11 ; L:16.39  ; A:16.39  ; M:0.19.11 
H:0.20.12 ; L:17.19  ; A:17.19  ; M:0.19.12 
# Main wall side 1:
# Column 0:
H:1.0.0   ; L:0.0    ; A:0.0    ; M:1.0.0   
H:1.0.1   ; L:0.20   ; A:0.20   ; M:1.0.1   
H:1.0.2   ; L:1.0    ; A:1.0    ; M:1.0.2   
H:1.0.3   ; L:1.20   ; A:1.20   ; M:1.0.3   
H:1.0.4   ; L:2.0    ; A:2.0    ; M:1.0.4   
H:1.0.5   ; L:2.20   ; A:2.20   ; M:1.0.5   
H:1.0.6   ; L:3.0    ; A:3.0    ; M:1.0.6   
H:1.0.7   ; L:3.20   ; A:3.20   ; M:1.0.7   
H:1.0.8   ; L:4.0    ; A:4.0    ; M:1.0.8   
H:1.0.9   ; L:4.20   ; A:4.20   ; M:1.0.9   
H:1.0.10  ; L:5.0    ; A:5.0    ; M:1.0.10  
H:1.0.11  ; L:5.20   ; A:5.20   ; M:1.0.11  
H:1.0.12  ; L:6.0    ; A:6.0    ; M:1.0.12  
# Column 1:
H:1.1.0   ; L:0.1    ; A:0.1    ; M:1.1.0   
H:1.1.1   ; L:0.21   ; A:0.21   ; M:1.1.1   
H:1.1.2   ; L:1.1    ; A:1.1    ; M:1.1.2   
H:1.1.3   ; L:1.21   ; A:1.21   ; M:1.1.3   
H:1.1.4   ; L:2.1    ; A:2.1    ; M:1.1.4   
H:1.1.5   ; L:2.21   ; A:2.21   ; M:1.1.5   
H:1.1.6   ; L:3.1    ; A:3.1    ; M:1.1.6   
H:1.1.7   ; L:3.21   ; A:3.21   ; M:1.1.7   
H:1.1.8   ; L:4.1    ; A:4.1    ; M:1.1.8   
H:1.1.9   ; L:4.21   ; A:4.21   ; M:1.1.9   
H:1.1.10  ; L:5.1    ; A:5.1    ; M:1.1.10  
H:1.1.11  ; L:5.21   ; A:5.21   ; M:1.1.11  
H:1.1.12  ; L:6.1    ; A:6.1    ; M:1.1.12  
# Column 2:
H:1.2.0   ; L:0.2    ; A:0.2    ; M:1.2.0   
H:1.2.1   ; L:0.22   ; A:0.22   ; M:1.2.1   
H:1.2.2   ; L:1.2    ; A:1.2    ; M:1.2.2   
H:1.2.3   ; L:1.22   ; A:1.22   ; M:1.2.3   
H:1.2.4   ; L:2.2    ; A:2.2    ; M:1.2.4   
H:1.2.5   ; L:2.22   ; A:2.22   ; M:1.2.5   
H:1.2.6   ; L:3.2    ; A:3.2    ; M:1.2.6   
H:1.2.7   ; L:3.22   ; A:3.22   ; M:1.2.7   
H:1.2.8   ; L:4.2    ; A:4.2    ; M:1.2.8   
H:1.2.9   ; L:4.22   ; A:4.22   ; M:1.2.9   
H:1.2.10  ; L:5.2    ; A:5.2    ; M:1.2.10  
H:1.2.11  ; L:5.22   ; A:5.22   ; M:1.2.11  
H:1.2.12  ; L:6.2    ; A:6.2    ; M:1.2.12  
# Column 3:
H:1.3.0   ; L:0.3    ; A:0.3    ; M:1.3.0   
H:1.3.1   ; L:0.23   ; A:0.23   ; M:1.3.1   
H:1.3.2   ; L:1.3    ; A:1.3    ; M:1.3.2   
H:1.3.3   ; L:1.23   ; A:1.23   ; M:1.3.3   
H:1.3.4   ; L:2.3    ; A:2.3    ; M:1.3.4   
H:1.3.5   ; L:2.23   ; A:2.23   ; M:1.3.5   
H:1.3.6   ; L:3.3    ; A:3.3    ; M:1.3.6   
H:1.3.7   ; L:3.23   ; A:3.23   ; M:1.3.7   
H:1.3.8   ; L:4.3    ; A:4.3    ; M:1.3.8   
H:1.3.9   ; L:4.23   ; A:4.23   ; M:1.3.9   
H:1.3.10  ; L:5.3    ; A:5.3    ; M:1.3.10  
H:1.3.11  ; L:5.23   ; A:5.23   ; M:1.3.11  
H:1.3.12  ; L:6.3    ; A:6.3    ; M:1.3.12  
# Column 4:
H:1.4.0   ; L:0.4    ; A:0.4    ; M:1.4.0   
H:1.4.1   ; L:0.24   ; A:0.24   ; M:1.4.1   
H:1.4.2   ; L:1.4    ; A:1.4    ; M:1.4.2   
H:1.4.3   ; L:1.24   ; A:1.24   ; M:1.4.3   
H:1.4.4   ; L:2.4    ; A:2.4    ; M:1.4.4   
H:1.4.5   ; L:2.24   ; A:2.24   ; M:1.4.5   
H:1.4.6   ; L:3.4    ; A:3.4    ; M:1.4.6   
H:1.4.7   ; L:3.24   ; A:3.24   ; M:1.4.7   
H:1.4.8   ; L:4.4    ; A:4.4    ; M:1.4.8   
