# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

S:11.6 ; G:0.1.3
S:11.7 ; G:0.1.4
S:11.8 ; G:0.1.5
S:11.9 ; G:0.1.6
S:11.10 ; G:0.1.7
S:11.11 ; X:0.0.0.14
S:11.12 ; X:0.0.1.14
S:11.13 ; X:0.0.0.13
S:11.14 ; X:0.0.1.13
S:11.15 ; M:0.0.11
S:11.16 ; M:0.1.11
S:11.17 ; M:0.2.11
S:11.18 ; M:0.3.11
S:11.19 ; M:0.4.11
S:11.20 ; M:0.5.11
S:11.21 ; M:0.6.11
S:11.22 ; M:0.7.11
S:11.23 ; M:0.8.11
S:11.24 ; M:0.9.11
S:11.25 ; X:0.0.0.12
S:11.26 ; X:0.0.1.12
S:11.27 ; M:0.0.10
S:11.28 ; M:0.1.10
S:11.29 ; M:0.2.10
S:11.30 ; M:0.3.10
S:11.31 ; M:0.4.10
S:11.32 ; M:0.5.10
S:11.33 ; M:0.6.10
S:11.34 ; M:0.7.10
S:11.35 ; M:0.8.10
S:11.36 ; M:0.9.10
S:11.37 ; X:0.0.0.11
S:11.38 ; X:0.0.1.11
S:11.39 ; M:0.0.9
S:11.40 ; M:0.1.9
S:11.41 ; M:0.2.9
S:11.42 ; M:0.3.9
S:11.43 ; M:0.4.9
S:11.44 ; M:0.5.9
S:11.45 ; M:0.6.9
S:11.46 ; M:0.7.9
S:11.47 ; M:0.8.9
S:11.48 ; M:0.9.9
S:11.49 ; X:0.0.0.10
S:11.50 ; X:0.0.1.10
S:11.51 ; M:0.0.8
S:11.52 ; M:0.1.8
S:11.53 ; M:0.2.8
S:11.54 ; M:0.3.8
S:11.55 ; M:0.4.8
S:11.56 ; M:0.5.8
S:11.57 ; M:0.6.8
S:11.58 ; M:0.7.8
S:11.59 ; M:0.8.8
S:11.60 ; M:0.9.8
# Sp:11.61 ; Spare
# Sp:11.62 ; Spare
# Sp:11.63 ; Spare
# Sp:11.64 ; Spare

S:12.1 ; G:0.1.8
S:12.2 ; G:0.1.9
S:12.3 ; G:0.1.10
S:12.4 ; G:0.1.11
S:12.5 ; G:0.1.12
S:12.6 ; G:0.1.13
S:12.7 ; G:0.1.14
S:12.8 ; G:0.1.15
S:12.9 ; X:0.1.1.15
S:12.10 ; X:0.1.0.15
